# TBLASTN 2.2.31+
# Query: EOG09150006
# Database: ./tmp/unitigs_diptera_odb9_3925818918
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 13 hits found
EOG09150006	utg000033l	52.55	196	87	4	3842	4035	940479	939904	5e-40	167
EOG09150006	utg000033l	31.75	674	346	34	761	1363	953352	951460	3e-39	150
EOG09150006	utg000033l	27.50	280	143	11	1361	1592	951463	950660	3e-39	35.8
EOG09150006	utg000033l	32.80	314	130	14	1474	1719	951030	950128	5e-27	96.7
EOG09150006	utg000033l	51.06	47	20	1	1720	1763	950078	949938	5e-27	48.9
EOG09150006	utg000033l	31.73	416	214	18	932	1306	952829	951669	1e-25	119
EOG09150006	utg000033l	56.90	58	25	0	1781	1838	949483	949310	1e-20	71.6
EOG09150006	utg000033l	78.95	19	4	0	1838	1856	949314	949258	1e-20	36.2
EOG09150006	utg000033l	30.46	174	78	9	1876	2013	949196	948696	1e-20	35.8
EOG09150006	utg000033l	28.95	114	46	3	2782	2864	944954	944625	6e-14	52.8
EOG09150006	utg000033l	47.89	71	32	3	2705	2770	945207	944995	6e-14	48.5
EOG09150006	utg000033l	30.74	309	167	16	771	1058	953323	952475	2e-10	69.7
EOG09150006	utg000033l	32.79	183	79	9	3831	3992	940511	940032	1e-06	57.0
# TBLASTN 2.2.31+
# Query: EOG09150009
# Database: ./tmp/unitigs_diptera_odb9_3925818918
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 60 hits found
EOG09150009	utg000001l	36.95	1218	564	42	2369	3442	4077405	4073932	1e-167	521
EOG09150009	utg000001l	31.71	328	167	16	2051	2337	4078432	4077497	1e-167	93.6
EOG09150009	utg000001l	37.27	271	122	9	3851	4074	4072470	4071661	5e-56	143
EOG09150009	utg000001l	32.05	468	205	26	3469	3850	4073794	4072472	5e-56	99.8
EOG09150009	utg000001l	38.18	275	158	6	14	285	4088429	4087632	1e-54	123
EOG09150009	utg000001l	34.16	445	216	22	285	677	4087606	4086347	1e-54	114
EOG09150009	utg000001l	32.41	722	336	29	1868	2492	4079030	4077030	2e-53	212
EOG09150009	utg000001l	33.53	680	324	27	872	1453	4085548	4083599	3e-51	189
EOG09150009	utg000001l	38.36	73	34	3	797	858	4085808	4085590	3e-51	37.0
EOG09150009	utg000001l	41.72	290	104	10	790	1037	4085846	4085046	4e-39	165
EOG09150009	utg000001l	32.14	504	251	20	36	493	4088361	4086985	4e-32	141
EOG09150009	utg000001l	31.37	510	272	22	2567	3021	4076812	4075352	1e-31	140
EOG09150009	utg000001l	27.69	650	368	24	2757	3338	4076186	4074339	6e-31	137
EOG09150009	utg000001l	52.07	121	36	3	1638	1737	4080237	4079878	2e-27	108
EOG09150009	utg000001l	32.08	106	49	5	1739	1823	4079875	4079564	2e-27	38.5
EOG09150009	utg000001l	31.90	348	182	12	2709	3022	4076329	4075349	2e-22	109
EOG09150009	utg000001l	53.33	120	41	4	4252	4359	4071006	4070656	4e-16	53.9
EOG09150009	utg000001l	72.73	33	8	1	4355	4387	4070651	4070556	4e-16	46.6
EOG09150009	utg000001l	91.67	12	1	0	4388	4399	4070554	4070519	4e-16	27.7
EOG09150009	utg000001l	49.54	109	50	3	17	125	4088419	4088108	8e-16	87.8
EOG09150009	utg000001l	82.00	50	8	1	4154	4202	4071315	4071166	1e-15	87.0
EOG09150009	utg000001l	38.98	177	66	7	1393	1530	4083807	4083286	4e-14	82.0
EOG09150009	utg000001l	28.34	374	205	11	385	705	4087313	4086222	2e-12	76.3
EOG09150009	utg000001l	39.86	138	75	4	3257	3388	4074583	4074176	4e-10	68.9
EOG09150009	utg000001l	27.70	213	141	4	1647	1850	4084504	4083878	4e-08	62.0
EOG09150009	utg000001l	27.97	236	132	11	392	611	4076994	4076353	7e-07	58.2
EOG09150009	utg000001l	43.24	74	41	1	1669	1742	4085438	4085220	1e-06	57.0
EOG09150009	utg000001l	38.81	67	35	1	577	637	701475	701275	1e-05	53.5
EOG09150009	utg000001l	36.07	61	39	0	3584	3644	6756319	6756137	3e-05	52.4
EOG09150009	utg000001l	45.00	60	33	0	1687	1746	701445	701266	7e-05	51.6
EOG09150009	utg000001l	41.77	79	43	3	1750	1826	4078742	4078509	7e-05	51.2
EOG09150009	utg000001l	27.95	161	112	3	1686	1845	4077354	4076881	9e-05	50.8
EOG09150009	utg000001l	33.00	100	64	2	1646	1743	702218	701922	1e-04	50.4
EOG09150009	utg000001l	37.31	67	41	1	1645	1711	4078742	4078545	1e-04	45.4
EOG09150009	utg000001l	38.46	26	16	0	1734	1759	4078476	4078399	1e-04	23.5
EOG09150009	utg000001l	37.04	81	41	3	135	215	4085435	4085223	2e-04	50.4
EOG09150009	utg000001l	28.57	168	95	7	2776	2923	4079033	4078545	2e-04	50.1
